Book_Name,Author,Rating,Number_of_Reviews,Price,Description,Listening_Time,Audible_Rank,Main_Genre,Genre_List
10 Essential Success Mantras from the Bhagavad Gita (Rupa Quick Reads),Vimla Patil,4.2,45.0,233.0,"For thousands of years, the Bhagavad Gita has inspired millions of saints, leaders, scientists, philosophers and ordinary people around the world. In this quick read, Vimla Patil draws valuable success mantras from the philosophical text that are sure to take your life to the next level. ",0 days 00:26:00,3076.0,Hinduism,"['Hinduism', 'Forecasting & Strategic Planning', 'Leadership']"
10 Masterpieces You Have to Read Before You Die 1,Jane Austen,4.4,331.0,401.0,This Audiobook contains the following works :,4 days 06:19:00,1485.0,Caribbean & Latin American Literature,"['Caribbean & Latin American Literature', 'English, Irish, Scottish & Welsh Literature', 'Classic Literature']"
10 Minutes 38 Seconds in This Strange World,Elif Shafak,4.5,507.0,752.0,Shortlisted for the Booker Prize 2019,0 days 09:11:00,221.0,Friendship Fiction,"['Friendship Fiction', ""Women's Fiction"", 'Political Fiction']"
100 Baggers: Stocks That Return 100-to-1 and How to Find Them,Christopher W. Mayer,4.5,178.0,668.0,"This book is about 100-baggers. These are stocks that return $100 for every $1 invested. That means a $10,000 investment turns into $1 million. Chris Mayer can help you find them.  ",0 days 06:19:00,2004.0,Money & Finance,"['Money & Finance', 'Business & Economics']"
1000+ Little Things Happy Successful People Do Differently,Marc Chernoff,4.7,210.0,1005.0,New York Times best-selling authors Marc and Angel Chernoff deliver instant inspiration and powerful advice for becoming our best selves. ,0 days 08:50:00,719.0,Personal Success,"['Personal Success', 'Personal Development & Self-Help']"
101 Amazing Facts About Trees,Jack Goldstein,5.0,1.0,152.0,How can you use a tree as a compass? What on earth makes maple trees explode? Where is the tallest tree in the world? And how can a tree own itself? ,0 days 00:35:00,29657.0,Flowers & Trees for Children,"['Flowers & Trees for Children', 'Botany & Plants', ""Children's Science, Nature & Technology""]"
101 Amazing Facts About the Royal Family,Jack Goldstein,2.6,15.0,152.0,"Are you a fan of the modern generation of royals? How much do you know about the lives of Prince William; his wife, Catherine, Duchess of Cambridge; and the rest of the royal family? ",0 days 00:30:00,29652.0,Biographies of Royalty,"['Biographies of Royalty', 'Biographies & Autobiographies', 'Textbooks & Study Guides']"
101 Best Indian Fables for Children,Stuti Gupta,3.7,23.0,233.0,Would you like to meet the ferocious king of the jungle? How about listening to the story of the cunning fox that talks its way out of tricky situations? Wonder what the little monkey is doing with the looking glass? Or what the peacock and crow are fighting over? ,0 days 02:26:00,3958.0,"Fairy Tales, Folk Tales & Myths for Children","['Fairy Tales, Folk Tales & Myths for Children', 'Literature & Fiction for Children', ""Children's Traditional Stories""]"
101 Panchatantra Stories,Om Books International,4.1,236.0,233.0,"The Panchatantra is a collection of short stories from India, written more than 5,000 years ago! This is a collection of stories from that legendary collection. The stories inculcate moral values in children in a subtle and fun manner. Enjoy the stories, where plants and animals can converse with human beings too! ",0 days 02:26:00,1059.0,Contemporary Fiction,"['Contemporary Fiction', 'Fiction Short Stories', 'Short Stories']"
101 Panchtantra Stories,Dreamland Publications,4.3,1624.0,233.0,"The Panchatantra is a collection of short stories from India, which was written mainly for children more than 2,000 years ago. This book contains a few hand-picked stories from that legendary collection. ",0 days 01:41:00,536.0,"Fairy Tales, Folk Tales & Myths for Children","['Fairy Tales, Folk Tales & Myths for Children', 'Literature & Fiction for Children', ""Children's Traditional Stories""]"
13 Steps to Bloody Good Wealth,Ashwin Sanghi,4.3,319.0,501.0,The only way to become wealthy is by being born wealthy. Right? Wrong! ,0 days 04:20:00,3141.0,Indian Literature,"['Indian Literature', 'Personal Finance', 'Personal Success']"
"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,4.6,1344.0,10378.0,"Everyone knows that regular exercise and weight training lead to physical strength. But how do we strengthen ourselves mentally for the truly tough times? And what should we do when we face these challenges? Or as psychotherapist Amy Morin asks, what should we avoid when we encounter adversity? Through her years counseling others and her own experiences navigating personal loss, Morin realized it is often the habits we cannot break that are holding us back from true success and happiness. Indulging in self-pity or agonizing over things beyond our control, obsessing over past events, resenting the achievements of others, or expecting immediate positive results all hold us back. ",0 days 06:36:00,1977.0,Business Motivation & Self-Improvement,"['Business Motivation & Self-Improvement', 'Personal Success', 'Analysis & Strategy']"
"15 Secrets Successful People Know About Time Management: The Productivity Habits of 7 Billionaires, 13 Olympic Athletes, 29 Straight-A Students, and 239 Entrepreneurs",Kevin Kruse,4.5,461.0,501.0,"New York Times best-selling author Kevin Kruse presents the remarkable findings of his study of ultraproductive people. Based on survey research and interviews with billionaires, Olympic athletes, straight-A students, and over 200 entrepreneurs - including Mark Cuban, Kevin Harrington, James Altucher, John Lee Dumas, Pat Flynn, Grant Cardone, and Lewis Howes - Kruse answers the question: What are the secrets to extreme productivity? ",0 days 03:10:00,4691.0,Time Management & Productivity,"['Time Management & Productivity', 'Business Careers', 'Personal Success']"
168 Hours: You Have More Time Than You Think,Laura Vanderkam,4.3,195.0,844.0,"There are 168 hours in a week. This book is about where the time really goes, and how we can all use it better. It's an unquestioned truth of modern life: we are starved for time. With the rise of two-income families, extreme jobs, and 24/7 connectivity, life is so frenzied we can barely find time to breathe. We tell ourselves we'd like to read more, get to the gym regularly, try new hobbies, and accomplish all kinds of goals. But then we give up because there just aren't enough hours to do it all. Or else, if we don't make excuses, we make sacrifices. To get ahead at work we spend less time with our spouses. To carve out more family time, we put off getting in shape. To train for a marathon, we cut back on sleep. There has to be a better way - and Laura Vanderkam has found one. ",0 days 07:48:00,348.0,Time Management,"['Time Management', 'Time Management & Productivity', 'Personal Success']"
1984,George Orwell,4.5,16938.0,797.0,"George Orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. Casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered. ",0 days 12:19:00,130.0,Dystopian Science Fiction,"['Dystopian Science Fiction', 'Political Fiction', 'Literary Fiction']"
1991: How P. V. Narasimha Rao Made History,Sanjaya Baru,4.2,182.0,668.0,"P. V. Narasimha Rao (or PV, as he was popularly known) has been widely praised for enabling the economic reforms that transformed the country in 1991. From the vantage point of his long personal and professional association with the former prime minister, best-selling author Sanjaya Baru shows how PV's impact on the nation's fortunes went way beyond the economy. ",0 days 05:25:00,803.0,Biographies of Presidents & Heads of State,"['Biographies of Presidents & Heads of State', 'Economic History', 'Biographies of Politicians']"
2 States: The Story of My Marriage,Chetan Bhagat,4.4,1077.0,568.0,Love marriages around the world are simple: Boy loves girl. Girl loves boy. They get married.,0 days 08:23:00,2907.0,Indian Literature,"['Indian Literature', 'Romance', 'Anthologies']"
2001: A Space Odyssey,Arthur C. Clarke,4.6,959.0,352.0,"This allegory about humanity's exploration of the universe, and the universe's reaction to humanity, was the basis for director Stanley Kubrick's immortal film, and lives on as a hallmark achievement in storytelling.",0 days 06:42:00,1550.0,Hard Science Fiction,"['Hard Science Fiction', 'Technothrillers', 'Space Opera Science Fiction']"
21 Lessons for the 21st Century,Yuval Noah Harari,4.4,2810.0,1093.0,Brought to you by Penguin.,0 days 11:41:00,14.0,Political Science History & Theory,"['Political Science History & Theory', 'United States Politics & Government', 'Political Theory']"
2666,Roberto Bolaño,4.1,354.0,1406.0,"National Book Critics Circle, Fiction, 2009",1 days 15:15:00,3144.0,Literary Fiction,"['Literary Fiction', 'Crime, Thriller & Mystery', 'Contemporary Fiction']"
281 and Beyond,VVS Laxman,4.5,204.0,1003.0,"A stylish batsman who could score against any kind of bowling, VVS Laxman played over a hundred Tests to aggregate more than 8,000 runs. Cricket fans still remember with awe his game-changing knock of 281 against Australia in 2001 at Eden Gardens. But playing for India was never easy. He was dropped as often as he was picked, and despite his vast experience and unimpeachable skill, he never made it to a World Cup team.  ",0 days 17:29:00,2481.0,Cricket,"['Cricket', 'Sports Biographies', 'Cricket']"
"30 Days - Change Your Habits, Change Your Life: A Couple of Simple Steps Every Day to Create the Life You Want",Marc Reklau,4.4,436.0,340.0,Have you ever asked yourself why some people seem to get everything easily and others don't? ,0 days 04:12:00,4442.0,Time Management & Productivity,"['Time Management & Productivity', 'Self-Esteem', 'Analysis & Strategy']"
30 Days to a More Powerful Vocabulary: The 500 Words You Need to Know to Transform Your Vocabulary...and Your Life,Dan Strutzel,3.7,14.0,656.0,A Bigger Vocabulary = A Brighter Future ,0 days 07:48:00,439.0,English Language Learning,"['English Language Learning', 'Communication & Social Skills', 'Business Careers']"
33 Strategies of War,Robert Greene,4.2,4.0,820.0,"33 Strategies of War is a comprehensive guide to the subtle social game of everyday life, informed by the most ingenious and effective military principles in war. It's the I-Ching of conflict, the contemporary companion to Sun Tzu's The Art of War, and is abundantly illustrated with examples from history, including the folly and genius of everyone from Napoleon to Margaret Thatcher, Hannibal to Ulysses S. Grant, movie moguls to samurai swordsmen. ",1 days 03:30:00,718.0,Communication & Social Skills,"['Communication & Social Skills', 'Personal Success in Business', 'Business & Economics']"
365 Jataka Tales,Om Books International,4.0,37.0,668.0,"The 365 series presents a variety of stories from Indian mythology, the Bible, the Jatakas, the Panchatantra, bedtime stories, folklore, and much more. From powerful sages to wicked demons, from arrogant kings to beautiful goddesses, this series showcases the most enchanting and gripping stories from all over the world.",0 days 08:31:00,3776.0,Literary Criticism for Children,"['Literary Criticism for Children', 'Fairy Tales, Folk Tales & Myths for Children', ""Children's Traditional Stories""]"
365 Panchatantra Stories,Adil Mukesh,4.2,424.0,668.0,The stories of Panchatantra are ancient Indian fables that were written in Sanskrit and Pali languages. The central characters in these fascinating fables are many times animals and birds. They show their most identifying characteristics in the various stories and impart valuable life lessons and morals. ,0 days 07:29:00,88.0,Literary Criticism for Children,"['Literary Criticism for Children', 'Fairy Tales, Folk Tales & Myths for Children', ""Children's Traditional Stories""]"
365 Stories from Around the World,Om Books International,4.0,22.0,668.0,"The 365 Stories from Around the World is a treasure trove of stories from around the world - right from the barren sands of Arabia to the icy cold polar regions of Antarctica and different eras. Through this book, a child can travel and know about the culture and history of different places, all by sitting at one place! ",0 days 08:13:00,2083.0,Literary Criticism for Children,"['Literary Criticism for Children', 'Fairy Tales, Folk Tales & Myths for Children', ""Children's Traditional Stories""]"
365 Tales of Indian Mythology,Om Books International,4.4,238.0,836.0,"One treat a day! A 23-volume series of 365 treats: stories, facts, questions and answers, and science experiments for young listeners.",0 days 10:01:00,81.0,Literary Criticism for Children,"['Literary Criticism for Children', ""Children's Traditional Stories""]"
44 Scotland Street: Series 1-3: Full-cast radio adaptations of the much-loved novels,Alexander McCall-Smith,3.9,8.0,478.0,Alexander McCall Smith's much-loved series of novels is the basis of this full-cast dramatisation about the inhabitants of an Edinburgh tenement building. ,0 days 03:24:00,2704.0,Contemporary Fiction,"['Contemporary Fiction', 'Crime, Thriller & Mystery', 'Contemporary Fiction']"
48 Laws of Power,Robert Greene,4.4,2097.0,820.0,"Amoral, cunning, ruthless, and instructive, this piercing work distills 3,000 years of the history of power into 48 well-explicated laws. This bold volume outlines the laws of power in their unvarnished essence, synthesizing the philosophies of Machiavelli, Sun Tzu, Carl von Clausewitz, and other infamous strategists. The 48 Laws of Power will fascinate any listener interested in gaining, observing, or defending against ultimate control. ",0 days 23:06:00,140.0,Ethics & Morality Philosophy,"['Ethics & Morality Philosophy', 'Political Science History & Theory', 'Political Theory']"
50 Greatest Short Stories,Terry O'Brien - editor,4.3,80.0,1171.0,"Selected from the best of the world's short fiction, 50 Great Short Stories brings together writings by great masters of the genre. Carefully picked for their timeless quality, listeners are sure to be delighted by the inclusion of such favourites as 'The Gift of the Magi', 'The Lady with the Dog', 'The Curious Case of Benjamin Button', 'Rain' and 'Mrs Packletide's Tiger', to name but a few. ",0 days 22:12:00,1866.0,Literature Anthologies,"['Literature Anthologies', 'Anthologies', 'Short Stories']"
50 Psychology Classics,Tom Butler-Bowdon,4.4,133.0,703.0,"Who we are...how we think...what we do... Here are insight and inspiration from 50 key books, including works by Sigmund Freud, Malcolm Gladwell, Daniel Goleman, Karen Horney, Carl Jung, Alfred Kinsey, R.D. Laing, Jean Piaget, Martin Seligman, Oliver Sacks, Gail Sheehy, and BF Skinner. ",0 days 12:24:00,4452.0,History of Psychology,"['History of Psychology', 'Psychology Movements', 'Sociology']"
50 Self-Help Classics to Guide You to Financial Freedom,Napoleon Hill,5.0,1.0,32.0,This Audiobook contains the following works:,3 days 23:01:00,948.0,Money Management,"['Money Management', 'Personal Development & Self-Help']"
"67 Hot Explicit Erotic Sex Stories: Swingers, BDSM, Spanking, Bisexual, Paranormal Threesomes, BBW Erotica, Lesbian First Time, Medical, Gangbangs and Much More...",Ashley Winters,4.0,5.0,1003.0,"In this hot enticing multi-author and multi-narrator mega collection filled with 67 filthy erotic stories, you’ll experience swingers, werewolves, BDSM, spanking, vampires, bisexual, a--l, paranormal threesomes, big beautiful woman erotica, lesbian first time, medical, gangbangs and much, much more….",0 days 22:48:00,741.0,Erotic Fiction,['Erotic Fiction']
"7 Mindsets for Success, Happiness and Fulfilment",Swami Mukundananda,4.7,519.0,668.0,"Thoughts and feelings that persist over time harden into an attitude. If you live with an attitude long enough, it becomes second nature - a mindset. The wrong mindset could lead you off the path of contentment, joy, enlightenment. The right one will point you to the road to success, to fulfilment and towards an extraordinary life.",0 days 06:19:00,432.0,Spiritualism,"['Spiritualism', 'New Thought Spirituality', 'Personal Success']"
7 Secrets of Shiva: The Hindu Trinity Series,Devdutt Pattanaik,4.4,686.0,501.0,"Shiva, 'the destroyer' among the Hindu trinity (of gods), is depicted in many contradictory manners. He is an ascetic who wears animal skin, his body smeared with ashes. Contradictory to his wild nature, he is also depicted as having a family, with a beautiful wife and two children. There are many more such varied representations of Shiva, the most prominent of these being the Linga and the Nataraja. The author, Devdutt Pattanaik, introduces listeners to these varied aspects and representations, and then sets about interpreting them. He explains the different anomalies and conflicts in beliefs, as well as the symbolism, rituals and reasons behind Hindu worship. ",0 days 04:04:00,136.0,Art,"['Art', 'Indian Literature', 'Hinduism']"
7 Secrets of Vishnu: The Hindu Trinity Series,Devdutt Pattanaik,4.5,114.0,501.0,"For Hindus, Vishnu is God, who inspires man to discover humanity by engaging with the world. Artists have visualized him with as curlyhaired, dark complexioned man with a smile on his lips and a sparkle in his eyes. Draped in yellow silk, garlanded with forest flowers, bedecked with dolphin-shaped earrings, anointed with sandal paste, he reclines on a thousand hooded serpent that floats on an ocean of milk and rides a golden hawk bearing in his arms a conchshell, a wheel, a mace and a lotus. Poets say that when he is awake, the world takes shape; when he is asleep, the world ceases to be. Lakshmi, the goddess of wealth, follows him wherever he goes. To him is made offerings of rich creamy butter. Sometimes, as the upright Ram, he is worshipped across India as Balaji, Shreenathji, Jagannath, Ranganath and Badrinath. Locked in the stories, symbols and rituals of Vishnu is the wisdom of the ancestors, transmitted over hundreds of years. This book attempts to unlock seven secrets that are relevant even in modern times. ",0 days 04:05:00,749.0,Indian Literature,"['Indian Literature', 'Hinduism', 'Buddhism']"
7 Secrets of the Goddess: The Hindu Trinity Series,Devdutt Pattanaik,4.4,111.0,501.0,Lakshmi massages Vishnu's feet. Is this male domination? ,0 days 04:38:00,2972.0,Indian Literature,"['Indian Literature', 'Hinduism', 'Christianity']"
8 Lessons in Military Leadership for Entrepreneurs,Robert T. Kiyosaki,4.7,58.0,603.0,"Robert Kiyosaki's new audiobook 8 Lessons in Military Leadership for Entrepreneurs draws from his years at the Merchant Marine Academy at Kings Point and his service in the United Sates Marine Corps. With compelling stories and examples and an engaging way of comparing and contrasting two very different cultures and value systems, Robert shares the challenges he faced in transitioning to civilian life: where chain of command and team-over-self - once so black and white - were muddy and distorted. ""Permission to speak freely, sir?"" Count on it. This is Robert Kiyosaki - and he does just that, in the forthright and no-nonsense style that listeners have come to expect and appreciate. ",0 days 05:08:00,4071.0,Business Communication,"['Business Communication', 'Entrepreneurship', 'Leadership']"
"99 Thoughts on Ganesha: Stories, Symbols and Rituals of India’s Beloved Elephant-Headed Deity",Devdutt Pattanaik,4.3,101.0,233.0,"In the game of cricket, having scored 99 runs, when a bats-man stands poised on the threshold of that much coveted century, he experiences the moment that is best associated with Ganesha. Fear and uncertainty envelope him; between him and his achievement stand hurdles, both real and imaginary: a possible spin from the bowler can overwhelm him, his own anxiety can paralyze him, cheering fans can distract him. He needs divine intervention then. He needs to focus, get rid of all hurdles, perform, get the final run, and achieve what he so longs for. In other words, he needs to think of Ganapati. ",0 days 02:27:00,4654.0,Hinduism,"['Hinduism', 'Meditation', 'Hinduism']"
A Beginner's Guide to the Stock Market: Everything You Need to Start Making Money Today,Matthew R. Kratter,4.4,2028.0,233.0,"Learn to make money in the stock market, even if you've never traded before.",0 days 01:42:00,158.0,Stocks,"['Stocks', 'Analysis & Strategy', 'Textbooks & Study Guides']"
A Better India: A Better World,Narayan Murthy,4.3,32.0,1005.0,Visit the website for A Better India: A Better World.,0 days 10:54:00,721.0,Poverty & Homelessness Studies,"['Poverty & Homelessness Studies', 'Literary Essays', 'Politics & Government']"
A Brief History of Time: From Big Bang to Black Holes,Stephen Hawking,4.6,5361.0,888.0,Brought to you by Penguin.,0 days 06:57:00,87.0,Physics,"['Physics', 'Cosmology', 'Astronomy']"
A Briefer History of Time,Stephen Hawking,4.7,629.0,615.0,"Students of the sciences and armchair physicists alike will all find something of worth in A Briefer History of Time. Well thought out and delivered with Hawking's straightforwardly scientific approach, it is an insightful and intelligent work. ",0 days 04:20:00,2768.0,Cosmology,"['Cosmology', 'Astronomy', 'Physics']"
A Children's History of India,Subhadra Sen Gupta,4.4,291.0,836.0,"Which were the first cities of India, and how were they discovered? What was it like living in Mughal times? How did the British, who had come to trade in India, end up ruling thecountry? How has India changed after Independence? ",0 days 11:49:00,1455.0,Asian History for Children,"['Asian History for Children', ""Children's History"", ""Children's Reference""]"
A Clash of Kings: Book 2 of A Song of Ice and Fire,George R. R. Martin,4.6,6888.0,18149.0,"The complete, unabridged audiobook of A Clash of Kings. ",1 days 13:12:00,187.0,Military Fantasy,"['Military Fantasy', 'Dragon & Mythical Creatures Fantasy', 'Epic Fantasy']"
A Concise History of Modern India,Barbara Metcalf,3.9,18.0,680.0,"A Concise History of Modern India, by Barbara D. Metcalf and Thomas R. Metcalf, has become a classic in the field since it was first published in 2001. As a fresh interpretation of Indian history from the Mughals to the present, it has informed students across the world. ",0 days 11:04:00,3454.0,Indian History,"['Indian History', 'Indian History', 'Asian History']"
A Course in Meditation: A 21-Day Workout for Your Consciousness,Osho,4.9,28.0,754.0,A 21-day course for modern meditators,0 days 04:58:00,267.0,Meditation,"['Meditation', 'Meditation', 'Mind, Body & Spirit']"
A Course in Weight Loss: 21 Spiritual Lessons for Surrendering Your Weight Forever,Marianne Williamson,4.4,580.0,561.0,"For so many people, whether your addiction is to a substance or merely to a certain way of thinking or acting, a profound humbling occurs when you realize that your problem is bigger than you are. The terror of realizing, even dimly, that you have no control over a self-destructive pattern of behavior - that as much as you would want to, you simply cannot stop - can mark a crucial turning point in your life. At that point, you go in one of two directions: either way, way down, or way, way up.... ",0 days 06:44:00,4250.0,Weight Loss Diets,"['Weight Loss Diets', 'Self-Esteem', 'Middle Eastern History']"
A Dance with Dragons: Book 5 of A Song of Ice and Fire,George R. R. Martin,4.4,10342.0,18149.0,"The complete, unabridged audiobook of A Dance with Dragons. ",2 days 00:53:00,1086.0,"Fantasy Movie, TV & Video Game Tie-Ins","['Fantasy Movie, TV & Video Game Tie-Ins', 'Movie, TV & Video Game Tie-In Fiction', 'Action & Adventure Fiction']"
A Dog's Purpose: A novel for humans,W. Bruce Cameron,4.7,4559.0,323.0,"This is the remarkable story of one endearing dog's search for his purpose over the course of several lives. More than just another charming dog story, A Dog's Purpose touches on the universal quest for an answer to life's most basic question: why are we here? ",0 days 08:17:00,3259.0,Animal Fiction,"['Animal Fiction', 'Movie, TV & Video Game Tie-In Fiction', 'Humorous Fiction']"
A Fine Balance,Rohinton Mistry,4.5,1289.0,1673.0,"With a compassionate realism and narrative sweep that recall the work of Charles Dickens, this magnificent novel captures all the cruelty and corruption, dignity and heroism, of India. The time is 1975. The place is an unnamed city by the sea. The government has just declared a State of Emergency, in whose upheavals four strangers - a spirited widow, a young student uprooted from his idyllic hill station, and two tailors who have fled the caste violence of their native village - will be thrust together, forced to share one cramped apartment and an uncertain future. ",1 days 01:49:00,1636.0,Fiction Sagas,"['Fiction Sagas', 'Historical Fiction', 'Literary Fiction']"
A Fistful of Love: Wisdom and Humour from a Monk’s Bowl,Om Swami,4.8,118.0,668.0,Wisdom and Humour from a Monk’s Bowl ,0 days 06:51:00,2292.0,Buddhism,"['Buddhism', 'Buddhism']"
A Girl to Remember,Ajay K Pandey,4.5,1189.0,668.0,"In every angel a demon hides,  And in every demon, an angel strides. ",0 days 06:02:00,4704.0,Contemporary Romance,"['Contemporary Romance', 'Romance']"
A Head Full of Ghosts,Paul Tremblay,4.0,1323.0,1328.0,"A chilling thriller that brilliantly blends psychological suspense and supernatural horror, reminiscent of Stephen King's The Shining, Shirley Jackson's The Haunting of Hill House and William Peter Blatty's The Exorcist. ",0 days 08:49:00,1837.0,Ghost Horror Fiction,"['Ghost Horror Fiction', 'Horror']"
A History of the World,Andrew Marr,4.5,522.0,323.0,"From the earliest civilizations to the 21st century: a global journey through human history, published alongside a landmark BBC One television series. ",1 days 02:28:00,3731.0,History of Civilization,"['History of Civilization', 'History of Civilization & Culture', 'Textbooks & Study Guides']"
A House Without Windows: A Novel,Nadia Hashimi,4.5,323.0,14334.0,"A vivid, unforgettable story of an unlikely sisterhood - an emotionally powerful and haunting tale of friendship that illuminates the plight of women in a traditional culture from the author of the best-selling The Pearl That Broke Its Shell and When the Moon Is Low. ",0 days 15:39:00,4823.0,Family Life Fiction,"['Family Life Fiction', ""Women's Fiction"", 'World Literature']"
A House for Mr. Biswas,V.S. Naipaul,4.3,338.0,1289.0,"A House for Mr. Biswas, by Nobel and Booker Prize-winning author V. S. Naipaul, is a powerful novel about one man's struggle for identity and belonging. Born into poverty, then trapped in the shackles of charity and gratitude, Mr. Biswas longs for a house he can call his own. He loathes his wife and her wealthy family, upon whom he is dependent. Finding himself a mere accessory on their estate, his constant rebellion is motivated by the one thing that can symbolize his independence. The book is striking in its lush and sensual descriptions of Trinidad and was listed as one of Time magazine's 100 Best English-Language Novels from 1923 to 2005. ",0 days 21:29:00,2150.0,Small Town & Rural Fiction,"['Small Town & Rural Fiction', 'World Literature', 'Historical Fiction']"
A Killer Among Us: One Murder & a Building Full of Suspects,Ushasi Sen Basu,4.9,17.0,668.0,What can strip away the polite veneer of an apartment complex and lay bare a world of secrets and lies? The discovery of a stranger’s body on its premises. ,0 days 06:48:00,839.0,Noir Fiction,"['Noir Fiction', 'Urban Fiction', 'Mysteries']"
A Little History of Religion,Richard Holloway,4.5,119.0,721.0,"In an era of hardening religious attitudes and explosive religious violence, this book offers a welcome antidote. Richard Holloway retells the entire history of religion - from the dawn of religious belief to the 21st century - with deepest respect and a keen commitment to accuracy. ",0 days 09:09:00,2822.0,Comparative Religion,"['Comparative Religion', 'History of Religion', 'Religious History']"
A Long Petal of the Sea,Isabel Allende,4.5,1292.0,645.0,"Bloomsbury presents A Long Petal of the Sea by Isabel Allende, read by Edoardo Ballerini.  ",0 days 09:46:00,1653.0,Latino American Literature,"['Latino American Literature', 'World War II Historical Fiction', 'War & Military Fiction']"
"A Man for All Markets: From Las Vegas to Wall Street, How I Beat the Dealer and the Market",Edward O. Thorp,4.4,371.0,1256.0,"The incredible true story of the card-counting mathematics professor who taught the world how to beat the dealer and, as the first of the great quantitative investors, ushered in a revolution on Wall Street. ",0 days 16:30:00,615.0,Mathematics,"['Mathematics', 'Investing Analysis & Strategy', 'Biographies of Business Leaders']"
A Monk's Guide to a Clean House and Mind,Shoukei Matsumoto,4.3,312.0,615.0,"Penguin presents the audiobook edition of A Monk's Guide to a Clean House and Mind by Shoukei Matsumoto, read by Adam Sims. ",0 days 02:04:00,1362.0,Cleaning & Organising,"['Cleaning & Organising', 'Zen Buddhism', 'Meditation']"
A New Earth: Awakening Your Life's Purpose,Eckhart Tolle,4.7,5163.0,1131.0,"Building on the astonishing success of The Power of Now, Eckhart Tolle presents listeners with an honest look at the current state of humanity: He implores us to see and accept that this state, which is based on an erroneous identification with the egoic mind, is one of dangerous insanity. ",0 days 09:12:00,347.0,"Other Religions, Practices & Sacred Texts","['Other Religions, Practices & Sacred Texts', 'Personal Development', 'Mind, Body & Spirit']"
"A Parent's Guide to High-Functioning Autism Spectrum Disorder, Second Edition: How to Meet the Challenges and Help Your Child Thrive",Sally Ozonoff,4.6,231.0,668.0,"Many tens of thousands of parents have found the facts they need about high-functioning autism spectrum disorder (ASD), including Asperger's syndrome, in this indispensable guide. Leading experts show how you can work with your child's unique impairments - and harness his or her capabilities. ",0 days 09:42:00,3167.0,Special Education,"['Special Education', 'Parenting Special Needs Children', 'Child Psychology']"
A Political History of the World: Three Thousand Years of War and Peace (A Pelican Book),Jonathan Holslag,4.4,28.0,820.0,"Penguin presents the audiobook edition of A Political History of the World by Jonathan Holslag, read by Roy McMillan. ",0 days 15:05:00,1374.0,International Relations,"['International Relations', 'World History', 'Military History']"
A Prisoner of Birth,Jeffrey Archer,4.6,2277.0,323.0,You heard it here first: The unabridged edition of A Prisoner of Birth is only available as a download.,0 days 16:22:00,1725.0,Suspense,"['Suspense', 'Literature & Fiction', 'Crime, Thriller & Mystery']"
"A Random Walk Down Wall Street, 12th Edition: The Time Tested Strategy for Successful Investing",Burton G. Malkiel,4.7,785.0,938.0,"The best investment guide money can buy, with more than 1.5 million copies sold, now fully revised and updated. ",0 days 11:42:00,1685.0,Retirement Planning,"['Retirement Planning', 'Money Management', 'Investing & Trading']"
A River in Darkness: One Man's Escape from North Korea,Masaji Ishikawa,4.6,5115.0,586.0,"The harrowing true story of one man's life in—and subsequent escape from—North Korea, one of the world's most brutal totalitarian regimes. ",0 days 05:54:00,1285.0,"Cultural, Ethnic & Regional Biographies","['Cultural, Ethnic & Regional Biographies', 'Biographies of Activists', 'Biographies of Politicians']"
A Room of One's Own: Penguin Classics,Virginia Woolf,4.4,631.0,615.0,Brought to you by Penguin.   ,0 days 04:17:00,1222.0,Women's Studies,"[""Women's Studies"", 'Society & Culture']"
A Secret Revealed,Christopher C. Doyle,3.9,191.0,233.0,The Quest Continues ,0 days 01:52:00,2526.0,Indian Literature,"['Indian Literature', 'Anthologies']"
A Space of Her Own: Personal Narratives of Twelve Women,Leela Gulati,3.4,9.0,0.0,"Focusing on relationships between women of different generations in India, this book is comprised of narratives demonstrating how each contributor established her own personhood through engagement with a wider kin group.",0 days 11:11:00,100.0,Women Biographies,"['Women Biographies', ""Women's Studies"", 'Sociology']"
A Squash and a Squeeze,Imelda Staunton,4.8,1620.0,323.0,"Visit the farm in this audio edition of A Squash and a Squeeze, read by Imelda Staunton and Steven Pacey - the first ever book from the unparalleled picture book partnership of Julia Donaldson and Axel Scheffler, creators of The Gruffalo. This audiobook also includes a read-along track, a song and an instrumental. ",0 days 00:23:00,4222.0,Literature & Fiction for Children,"['Literature & Fiction for Children', ""Children's Literature & Fiction""]"
A Stranger in the Mirror,Sidney Sheldon,4.3,160.0,702.0,"Toby Temple is a superstar, the world's funniest man. He gets any woman that he wants, but under the superstar image is a lonely man. ",0 days 07:19:00,-1.0,"Crime, Thriller & Mystery","['Crime, Thriller & Mystery', 'Contemporary Fiction']"
