Book_Name,Author,Rating,Number_of_Reviews,Price,Description,Listening_Time,Audible_Rank,Main_Genre,Genre_List
"You Can Heal Your Life (Unabridged, Adapted for Audio)",Louise L. Hay,4.6,1856.0,586.0,Louise shows you that by changing your thinking...you really can heal your life!,0 days 04:59:00,170.0,Ageing Health,"['Ageing Health', 'Personal Development', 'Family & Relationships']"
You Can Sell,Shiv Khera,4.5,196.0,569.0,"It is often said that in order to succeed, one needs to learn the 'tricks of the trade'. However, this is not true. Good professionals learn the trade. This is what You Can Sell teaches you how to do - to gain thorough knowledge of the trade, better understanding of the task at hand and sell your way to success. ",0 days 07:12:00,4895.0,Personal Success,"['Personal Success', 'Personal Development & Self-Help']"
You Should See Me in a Crown,Leah Johnson,4.8,150.0,586.0,"Liz Lighty has always believed she’s too black, too poor, too awkward to shine in her small, rich, prom-obsessed Midwestern town. But it’s okay - Liz has a plan that will get her out of Campbell, Indiana, forever: attend the uber-elite Pennington College, play in their world-famous orchestra, and become a doctor.",0 days 07:18:00,5339.0,Romantic Comedy for Teens,"['Romantic Comedy for Teens', 'LGBT Literature & Fiction for Teens', 'Fiction on Friendship for Teens']"
You Were Born Rich,Bob Proctor,4.6,263.0,820.0,"Zig Ziglar may be the master motivator, Mark Victor Hansen of Chicken Soup for the Soul the master storyteller; Anthony Robbins may be the guru of personal development, but Bob Proctor is the master thinker. When it comes to systematizing life, no one else can touch him. He is simply the best. Bob Proctor collects thoughts like Imelda Marcos used to collect shoes. He strings them together in exquisite arrays, one thought leading logically to the next until a whole method has been constructed. ",0 days 10:48:00,690.0,Personal Success,"['Personal Success', 'Personal Development & Self-Help']"
"You're a Miracle (and a Pain in the Ass): Embracing the Emotions, Habits, and Mystery That Make You You",Mike McHargue,4.8,99.0,754.0,"""Holding brain science in one hand and rich emotional presence in the other, this book feels timely and necessary."" (Shauna Niequist, New York Times best-selling author of Present Over Perfect)",0 days 05:53:00,971.0,Neuroscience & Neuropsychology,"['Neuroscience & Neuropsychology', 'Biological Sciences', 'Personal Success']"
"Your Brain at Work: Strategies for Overcoming Distraction, Regaining Focus, and Working Smarter All Day Long",David Rock,4.6,449.0,13345.0,"Meet Emily and Paul: The parents of two young children, Emily is the newly promoted VP of marketing at a large corporation while Paul works from home or from clients' offices as an independent IT consultant. Their lives, like all of ours, are filled with a bewildering blizzard of emails, phone calls, yet more emails, meetings, projects, proposals, and plans. Just staying ahead of the storm has become a seemingly insurmountable task.",0 days 09:42:00,669.0,Business Decision Making & Problem Solving,"['Business Decision Making & Problem Solving', 'Science', 'Earth Sciences Books']"
Your Dreams Are Mine Now,Ravinder Singh,4.2,1038.0,754.0,"""It can’t be love..."" he thinks, and immediately his heart protests.",0 days 09:10:00,4510.0,Contemporary Romance,"['Contemporary Romance', 'Romance']"
Your Inner Awakening: The Work of Byron Katie: Four Questions That Will Transform Your Life,Byron Katie,4.4,65.0,1439.0,"No matter how much money, status, professional success, or other types of external security one may have, very few people experience true joy and personal freedom. Byron Katie knows this reality too well. In the midst of a ""normal and successful"" life, Katie became increasingly depressed, and over a ten-year period sank further into rage and despair. ",0 days 05:50:00,2459.0,Personal Success,"['Personal Success', 'Personal Development & Self-Help']"
Your Money and Your Brain: How the New Science of Neuroeconomics Can Help Make You Rich,Jason Zweig,4.3,106.0,586.0,"What happens inside our brains when we think about money? Quite a lot, actually, and some of it isn't good for our financial health. In Your Money and Your Brain, Jason Zweig explains why smart people make stupid financial decisions - and what they can do to avoid these mistakes. Zweig, a veteran financial journalist, draws on the latest research in neuroeconomics, a fascinating new discipline that combines psychology, neuroscience, and economics to better understand financial decision making. He shows why we often misunderstand risk and why we tend to be overconfident about our investment decisions. Your Money and Your Brain offers some radical new insights into investing and shows investors how to take control of the battlefield between reason and emotion.",0 days 11:39:00,4578.0,Money Management,"['Money Management', 'Investing & Trading', 'Personal Success']"
Your Soul's Plan: Discovering the Real Meaning of the Life You Planned Before You Were Born,Robert Schwartz,4.6,825.0,1404.0,"Would you like to understand the deeper spiritual meaning of physical illness, parenting handicapped children, drug addiction, alcoholism, the death of a loved one, accidents, deafness, and blindness? ",0 days 11:15:00,1308.0,Reincarnation,"['Reincarnation', 'Out-of-Body Experiences', 'Grief & Loss']"
